source,target,weight,s_country,t_prov,s_date,t_date
EPI_ISL_16378855,EPI_ISL_16641921,0,Singapore,Beijing,2022-12-23,2022-10-23
EPI_ISL_16413619,EPI_ISL_16641942,0,South Korea,Beijing,2022-12-19,2022-10-25
EPI_ISL_16521456,EPI_ISL_16923041,0,Japan,Tianjin,2022-12-29,2022-11-05
EPI_ISL_16294686,EPI_ISL_16642191,1,Singapore,Beijing,2022-12-21,2022-11-11
EPI_ISL_16340453,EPI_ISL_16698222,3,South Korea,Chongqing,2022-12-20,2022-11-13
EPI_ISL_16378855,EPI_ISL_16604374,3,Singapore,Shandong,2022-12-23,2022-11-17
EPI_ISL_16428145,EPI_ISL_16264219,0,Japan,Guangdong,2022-12-30,2022-11-17
EPI_ISL_16734456,EPI_ISL_17487834,0,USA,Hubei,2022-12-16,2022-11-18
EPI_ISL_16636832,EPI_ISL_16616812,0,USA,Hubei,2022-12-15,2022-11-18
EPI_ISL_16355504,EPI_ISL_16616807,1,Italy,Hubei,2022-12-29,2022-11-18
EPI_ISL_16406300,EPI_ISL_16698243,0,United Kingdom,Chongqing,2022-12-26,2022-11-19
EPI_ISL_16294686,EPI_ISL_16642411,0,Singapore,Beijing,2022-12-21,2022-11-22
EPI_ISL_16580305,EPI_ISL_17487066,0,South Africa,Hubei,2023-01-06,2022-11-27
EPI_ISL_17345001,EPI_ISL_16598662,0,Germany,Jilin,2022-12-19,2022-11-28
EPI_ISL_16580305,EPI_ISL_17088860,0,South Africa,Guangxi,2023-01-06,2022-11-28
EPI_ISL_16415421,EPI_ISL_18070573,0,USA,Shandong,2022-12-15,2022-11-28
EPI_ISL_16522231,EPI_ISL_17088854,1,Japan,Guangxi,2023-01-05,2022-11-28
EPI_ISL_16693116,EPI_ISL_18070577,0,Japan,Shandong,2022-12-23,2022-11-28
EPI_ISL_17581698,EPI_ISL_17088703,0,Hong Kong,Guangxi,2022-12-18,2022-11-30
EPI_ISL_16523697,EPI_ISL_16617195,0,Australia,Hubei,2022-12-27,2022-11-30
EPI_ISL_16568810,EPI_ISL_16604344,1,South Korea,Shandong,2023-01-06,2022-12-01
EPI_ISL_16355485,EPI_ISL_16599075,0,Italy,Anhui,2022-12-29,2022-12-01
EPI_ISL_16342183,EPI_ISL_16599077,1,Australia,Anhui,2022-12-19,2022-12-01
EPI_ISL_16568780,EPI_ISL_16350950,0,South Korea,Beijing,2023-01-05,2022-12-01
EPI_ISL_16693116,EPI_ISL_17489534,0,Japan,Fujian,2022-12-23,2022-12-01
EPI_ISL_16377971,EPI_ISL_16641629,1,Austria,Yunnan,2022-12-28,2022-12-01
EPI_ISL_17162795,EPI_ISL_16641630,0,Myanmar,Yunnan,2023-01-23,2022-12-01
EPI_ISL_16522238,EPI_ISL_16350956,0,Japan,Beijing,2023-01-05,2022-12-01
EPI_ISL_16697367,EPI_ISL_16711963,2,Japan,Guangdong,2022-12-26,2022-12-01
EPI_ISL_16735328,EPI_ISL_16283973,0,Japan,Fujian,2023-01-18,2022-12-01
EPI_ISL_16580305,EPI_ISL_16599059,1,South Africa,Anhui,2023-01-06,2022-12-01
EPI_ISL_16259494,EPI_ISL_17492930,3,Singapore,Sichuan,2022-12-16,2022-12-01
EPI_ISL_16494665,EPI_ISL_16634402,0,Japan,Shanghai,2023-01-03,2022-12-01
EPI_ISL_16508434,EPI_ISL_16634409,2,France,Shanghai,2022-12-19,2022-12-01
EPI_ISL_17825680,EPI_ISL_16634411,1,Australia,Shanghai,2022-12-30,2022-12-01
EPI_ISL_16506511,EPI_ISL_16634422,0,South Korea,Shanghai,2023-01-04,2022-12-01
EPI_ISL_16342183,EPI_ISL_16634421,0,Australia,Shanghai,2022-12-19,2022-12-01
EPI_ISL_16580305,EPI_ISL_16634420,2,South Africa,Shanghai,2023-01-06,2022-12-01
EPI_ISL_16952946,EPI_ISL_16634415,0,New Zealand,Shanghai,2022-12-23,2022-12-01
EPI_ISL_16181562,EPI_ISL_16634433,0,Singapore,Shanghai,2022-12-12,2022-12-01
EPI_ISL_16637194,EPI_ISL_16711940,0,Japan,Guangdong,2023-01-10,2022-12-01
EPI_ISL_16576343,EPI_ISL_16634438,0,France,Shanghai,2022-12-30,2022-12-01
EPI_ISL_16508434,EPI_ISL_16634471,2,France,Shanghai,2022-12-19,2022-12-01
EPI_ISL_16580305,EPI_ISL_16634467,0,South Africa,Shanghai,2023-01-06,2022-12-01
EPI_ISL_16342183,EPI_ISL_16617313,1,Australia,Hubei,2022-12-19,2022-12-02
EPI_ISL_16506658,EPI_ISL_16709480,0,South Korea,Shaanxi,2022-12-23,2022-12-02
EPI_ISL_16342183,EPI_ISL_17487205,1,Australia,Hubei,2022-12-19,2022-12-02
EPI_ISL_16508434,EPI_ISL_16634595,1,France,Shanghai,2022-12-19,2022-12-02
EPI_ISL_16693116,EPI_ISL_16634594,0,Japan,Shanghai,2022-12-23,2022-12-02
EPI_ISL_16342183,EPI_ISL_16634550,0,Australia,Shanghai,2022-12-19,2022-12-02
EPI_ISL_16428145,EPI_ISL_16712231,0,Japan,Guangdong,2022-12-30,2022-12-02
EPI_ISL_16674634,EPI_ISL_17088768,0,Japan,Guangxi,2023-01-15,2022-12-02
EPI_ISL_16259489,EPI_ISL_16327441,1,Singapore,Shanghai,2022-12-17,2022-12-02
EPI_ISL_16588898,EPI_ISL_16609784,0,Japan,Anhui,2022-12-16,2022-12-02
EPI_ISL_16735328,EPI_ISL_16634637,1,Japan,Shanghai,2023-01-18,2022-12-03
EPI_ISL_16718507,EPI_ISL_16711943,0,Japan,Guangdong,2022-12-29,2022-12-04
EPI_ISL_16514258,EPI_ISL_16712006,1,South Korea,Guangdong,2022-12-30,2022-12-04
EPI_ISL_16415421,EPI_ISL_16327447,1,USA,Shanghai,2022-12-15,2022-12-04
EPI_ISL_16506511,EPI_ISL_17489523,1,South Korea,Fujian,2023-01-04,2022-12-04
EPI_ISL_16294667,EPI_ISL_16712020,1,Singapore,Guangdong,2022-12-19,2022-12-04
EPI_ISL_16506511,EPI_ISL_16604348,1,South Korea,Shandong,2023-01-04,2022-12-04
EPI_ISL_16413610,EPI_ISL_16614071,1,South Korea,Jilin,2022-12-19,2022-12-04
EPI_ISL_16506436,EPI_ISL_16614078,1,South Korea,Jilin,2022-12-27,2022-12-04
EPI_ISL_16953635,EPI_ISL_17489511,1,New Zealand,Fujian,2023-01-03,2022-12-05
EPI_ISL_16294667,EPI_ISL_16711849,1,Singapore,Guangdong,2022-12-19,2022-12-05
EPI_ISL_16506511,EPI_ISL_16636011,0,South Korea,Xinjiang,2023-01-04,2022-12-05
EPI_ISL_16406300,EPI_ISL_16635427,0,United Kingdom,Zhejiang,2022-12-26,2022-12-05
EPI_ISL_16891951,EPI_ISL_16635435,1,Canada,Zhejiang,2022-12-25,2022-12-05
EPI_ISL_16902514,EPI_ISL_16711959,1,Hong Kong,Guangdong,2023-02-01,2022-12-06
EPI_ISL_16734456,EPI_ISL_16617289,1,USA,Hubei,2022-12-16,2022-12-06
EPI_ISL_17833654,EPI_ISL_16712032,1,USA,Guangdong,2022-12-20,2022-12-06
EPI_ISL_16691930,EPI_ISL_16711918,1,Japan,Guangdong,2022-12-28,2022-12-07
EPI_ISL_16576912,EPI_ISL_16712014,1,Japan,Guangdong,2023-01-06,2022-12-07
